date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:57	7360/7360	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
14:52:58	8280/8280	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
14:52:58	5676/5676	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
14:52:58	14808/14808	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:16:17%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
14:52:58	15764/15764	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:16:17%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
14:52:59	990/990	U-----	200	untouched ('')	image/png	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
14:52:59	50234/50234	U-----	200	untouched ('')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/class%20central%203/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
14:53:00	840348/840348	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202023%2012:52:58%20GMT	https://www.classcentral.com/subject/business	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/subject/business.html	(from https://www.classcentral.com/)
14:53:00	600478/600478	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2021%20Feb%202023%2012:52:59%20GMT	https://www.classcentral.com/rankings	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/rankings.html	(from https://www.classcentral.com/)
14:53:01	593394/593394	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2021%20Feb%202023%2012:52:59%20GMT	https://www.classcentral.com/collections	C:/My%20Web%20Sites/class%20central%203/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
